# IBEX provenance
2026-08-24T12:03:08+03:00
login510-22
colleoe

# Python
Python 3.11.14

# Key Python modules

# Slurm jobs
JobIDRaw|JobName|State|ExitCode|Elapsed|MaxRSS
50655122|guacamol_10seed_stats|COMPLETED|0:0|00:36:02|
50655122.batch|batch|COMPLETED|0:0|00:36:02|1529148K
50655122.extern|extern|COMPLETED|0:0|00:36:02|
50655123|guacamol_10seed_stats|COMPLETED|0:0|00:34:35|
50655123.batch|batch|COMPLETED|0:0|00:34:35|1527536K
50655123.extern|extern|COMPLETED|0:0|00:34:35|
50655124|guacamol_10seed_stats|COMPLETED|0:0|00:44:14|
50655124.batch|batch|COMPLETED|0:0|00:44:14|2923564K
50655124.extern|extern|COMPLETED|0:0|00:44:14|
50655125|guacamol_10seed_stats|COMPLETED|0:0|00:43:20|
50655125.batch|batch|COMPLETED|0:0|00:43:20|3355888K
50655125.extern|extern|COMPLETED|0:0|00:43:20|
50655126|guacamol_10seed_stats|COMPLETED|0:0|00:33:45|
50655126.batch|batch|COMPLETED|0:0|00:33:45|3316756K
50655126.extern|extern|COMPLETED|0:0|00:33:45|
50655127|guacamol_10seed_stats|COMPLETED|0:0|00:29:26|
50655127.batch|batch|COMPLETED|0:0|00:29:26|3320392K
50655127.extern|extern|COMPLETED|0:0|00:29:26|
50655128|guacamol_10seed_stats|COMPLETED|0:0|00:18:40|
50655128.batch|batch|COMPLETED|0:0|00:18:40|3180508K
50655128.extern|extern|COMPLETED|0:0|00:18:40|
50655129|guacamol_10seed_stats|COMPLETED|0:0|00:22:37|
50655129.batch|batch|COMPLETED|0:0|00:22:37|3336888K
50655129.extern|extern|COMPLETED|0:0|00:22:37|
50655130|guacamol_10seed_stats|COMPLETED|0:0|00:36:02|
50655130.batch|batch|COMPLETED|0:0|00:36:02|3350456K
50655130.extern|extern|COMPLETED|0:0|00:36:02|
50655131|guacamol_10seed_stats|COMPLETED|0:0|00:50:45|
50655131.batch|batch|COMPLETED|0:0|00:50:45|3397488K
50655131.extern|extern|COMPLETED|0:0|00:50:45|
50655132|guacamol_10seed_stats|COMPLETED|0:0|00:45:08|
50655132.batch|batch|COMPLETED|0:0|00:45:08|1910524K
50655132.extern|extern|COMPLETED|0:0|00:45:08|
