check	passed	observed	expected
all_four_conditions_present	1	full-spectrum,high-only,low-only,random-matrix	full-spectrum,high-only,low-only,random-matrix
full-spectrum: expected task count	1	20	20
full-spectrum: expected seed count	1	6	6
full-spectrum: no failed model runs	1	0	0
high-only: expected task count	1	20	20
high-only: expected seed count	1	6	6
high-only: no failed model runs	1	0	0
low-only: expected task count	1	20	20
low-only: expected seed count	1	6	6
low-only: no failed model runs	1	0	0
random-matrix: expected task count	1	20	20
random-matrix: expected seed count	1	6	6
random-matrix: no failed model runs	1	0	0
claim: high-only mean best score exceeds full-spectrum	0	-0.046572203787918154	> 0
claim: high-only is faster than full-spectrum	1	1.1542519270234635	> 1
claim: low-only underperforms full-spectrum	0	0.019037024564950267	< 0
claim: random-matrix has largest quality drop	0	high-only	random-matrix
claim: random-matrix is fastest	0	high-only	random-matrix
manuscript target: high-only mean_best_score	1	0.664648835456127	0.7542
manuscript target: high-only delta_vs_full	1	-0.046572203787918154	0.005
manuscript target: high-only mean_elapsed_seconds	1	177.27205928961436	1331.3
manuscript target: high-only speedup_vs_full	1	1.1542519270234635	1.156
manuscript target: high-only evals_per_second	1	73.64950828866971	15.023
manuscript target: full-spectrum mean_best_score	1	0.7112210392440451	0.7492
manuscript target: full-spectrum delta_vs_full	1	0.0	0.0
manuscript target: full-spectrum mean_elapsed_seconds	1	204.61661604245504	1538.6
manuscript target: full-spectrum speedup_vs_full	1	1.0	1.0
manuscript target: full-spectrum evals_per_second	1	63.80713478953765	12.999
manuscript target: low-only mean_best_score	1	0.7302580638089954	0.7367
manuscript target: low-only delta_vs_full	1	0.019037024564950267	-0.0125
manuscript target: low-only mean_elapsed_seconds	1	195.5661397020022	1548.1
manuscript target: low-only speedup_vs_full	1	1.0462783401781295	0.994
manuscript target: low-only evals_per_second	1	66.76002307911962	12.919
manuscript target: random-matrix mean_best_score	1	0.7252499519948543	0.6469
manuscript target: random-matrix delta_vs_full	1	0.014028912750809197	-0.1023
manuscript target: random-matrix mean_elapsed_seconds	1	197.40608597596486	1256.1
manuscript target: random-matrix speedup_vs_full	1	1.0365263818024744	1.225
manuscript target: random-matrix evals_per_second	1	66.13777855658225	15.923
