condition	seed	task_index	task	status	return_code	elapsed_seconds	source
full-spectrum	0	0	Celecoxib_rediscovery	ok	0	655.2560081481934	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	10	Osimertinib_MPO	ok	0	154.04286932945251	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	11	Fexofenadine_MPO	ok	0	234.1285707950592	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	12	Ranolazine_MPO	ok	0	159.96606731414795	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	13	Perindopril_MPO	ok	0	255.27022314071655	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	14	Amlodipine_MPO	ok	0	217.43857645988464	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	15	Sitagliptin_MPO	ok	0	209.5288860797882	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	16	Zaleplon_MPO	ok	0	139.46285915374756	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	17	Valsartan_smarts	ok	0	172.55719923973083	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	18	Deco_hop	ok	0	259.07800817489624	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_18_Deco_hop/compare_GuacaMol_20260824_150855/model_runtime.tsv
full-spectrum	0	19	Scaffold_hop	ok	0	213.9251091480255	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_19_Scaffold_hop/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	0	1	Troglitazone_rediscovery	ok	0	403.68526887893677	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	0	2	Thiothixene_rediscovery	ok	0	183.70971989631653	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	3	Aripiprazole_similarity	ok	0	202.6988821029663	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	4	Albuterol_similarity	ok	0	163.5800895690918	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	5	Mestranol_similarity	ok	0	175.32138085365295	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	6	C11H24	ok	0	139.26111793518066	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_6_C11H24/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	7	C9H10N2O2PF2Cl	ok	0	130.65580821037292	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	8	Median_molecules_1	ok	0	171.09942984580994	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_8_Median_molecules_1/compare_GuacaMol_20260824_150846/model_runtime.tsv
full-spectrum	0	9	Median_molecules_2	ok	0	148.72905087471008	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_9_Median_molecules_2/compare_GuacaMol_20260824_150854/model_runtime.tsv
full-spectrum	1	0	Celecoxib_rediscovery	ok	0	199.89255690574646	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	10	Osimertinib_MPO	ok	0	166.15271735191345	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	11	Fexofenadine_MPO	ok	0	234.261155128479	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	12	Ranolazine_MPO	ok	0	146.20010375976562	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	13	Perindopril_MPO	ok	0	252.53963828086853	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	14	Amlodipine_MPO	ok	0	273.3967673778534	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	15	Sitagliptin_MPO	ok	0	301.36018991470337	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150847/model_runtime.tsv
full-spectrum	1	16	Zaleplon_MPO	ok	0	215.28677034378052	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	17	Valsartan_smarts	ok	0	271.24200892448425	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	18	Deco_hop	ok	0	263.14884853363037	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_18_Deco_hop/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	19	Scaffold_hop	ok	0	289.498220205307	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_19_Scaffold_hop/compare_GuacaMol_20260824_150848/model_runtime.tsv
full-spectrum	1	1	Troglitazone_rediscovery	ok	0	178.76428484916687	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	2	Thiothixene_rediscovery	ok	0	164.48889064788818	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	3	Aripiprazole_similarity	ok	0	174.32374095916748	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	4	Albuterol_similarity	ok	0	170.1107156276703	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150845/model_runtime.tsv
full-spectrum	1	5	Mestranol_similarity	ok	0	194.55507230758667	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_5_Mestranol_similarity/compare_GuacaMol_20260824_150847/model_runtime.tsv
full-spectrum	1	6	C11H24	ok	0	139.12735986709595	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_6_C11H24/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	7	C9H10N2O2PF2Cl	ok	0	150.80190753936768	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	8	Median_molecules_1	ok	0	185.22876596450806	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_8_Median_molecules_1/compare_GuacaMol_20260824_150852/model_runtime.tsv
full-spectrum	1	9	Median_molecules_2	ok	0	296.022358417511	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_1/task_9_Median_molecules_2/compare_GuacaMol_20260824_150852/model_runtime.tsv
