condition	task_index	task	mean_best_score	std_best_score	n_seeds
full-spectrum	0	Celecoxib_rediscovery	1.0	0.0	6
high-only	0	Celecoxib_rediscovery	1.0	0.0	6
low-only	0	Celecoxib_rediscovery	1.0	0.0	6
random-matrix	0	Celecoxib_rediscovery	1.0	0.0	6
full-spectrum	1	Troglitazone_rediscovery	1.0	0.0	6
high-only	1	Troglitazone_rediscovery	1.0	0.0	6
low-only	1	Troglitazone_rediscovery	1.0	0.0	6
random-matrix	1	Troglitazone_rediscovery	1.0	0.0	6
full-spectrum	2	Thiothixene_rediscovery	0.8616393925991449	0.2690777902081179	6
high-only	2	Thiothixene_rediscovery	1.0	0.0	6
low-only	2	Thiothixene_rediscovery	1.0	0.0	6
random-matrix	2	Thiothixene_rediscovery	1.0	0.0	6
full-spectrum	3	Aripiprazole_similarity	1.0	0.0	6
high-only	3	Aripiprazole_similarity	1.0	0.0	6
low-only	3	Aripiprazole_similarity	1.0	0.0	6
random-matrix	3	Aripiprazole_similarity	1.0	0.0	6
full-spectrum	4	Albuterol_similarity	0.5842276397919463	0.032212486437785126	6
high-only	4	Albuterol_similarity	0.5182061753637243	0.028403010999716486	6
low-only	4	Albuterol_similarity	0.6921850929571413	0.1740695785170443	6
random-matrix	4	Albuterol_similarity	0.5161728627003624	0.03671734484741011	6
full-spectrum	5	Mestranol_similarity	1.0	0.0	6
high-only	5	Mestranol_similarity	1.0	0.0	6
low-only	5	Mestranol_similarity	1.0	0.0	6
random-matrix	5	Mestranol_similarity	1.0	0.0	6
full-spectrum	6	C11H24	1.0	0.0	6
high-only	6	C11H24	0.9517817757691409	0.07469935177192498	6
low-only	6	C11H24	1.0	0.0	6
random-matrix	6	C11H24	1.0	0.0	6
full-spectrum	7	C9H10N2O2PF2Cl	0.8601945076864651	0.0687877580593578	6
high-only	7	C9H10N2O2PF2Cl	0.6812454990492687	0.0604853752163467	6
low-only	7	C9H10N2O2PF2Cl	0.8398408822634845	0.057663600780811404	6
random-matrix	7	C9H10N2O2PF2Cl	0.7772526450553755	0.05462678348754739	6
full-spectrum	8	Median_molecules_1	0.4022598870056497	0.0035010018948768203	6
high-only	8	Median_molecules_1	0.3999999999999999	0.0	6
low-only	8	Median_molecules_1	0.4033898305084745	0.003713373271221528	6
random-matrix	8	Median_molecules_1	0.4022598870056497	0.0035010018948768203	6
full-spectrum	9	Median_molecules_2	0.28640940015967414	0.08702974050786089	6
high-only	9	Median_molecules_2	0.36237153766973934	6.080941944488117e-17	6
low-only	9	Median_molecules_2	0.2533366380814316	0.09438122253529868	6
random-matrix	9	Median_molecules_2	0.36237153766973934	6.080941944488117e-17	6
full-spectrum	10	Osimertinib_MPO	0.8197861161306043	0.07842914859559655	6
