condition	seed	task_index	task	export_path	source	initial_unique	generated_unique_novel	seed_duplicate_rows	selected_top_n	valid_selected
full-spectrum	0	0	Celecoxib_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_53/2026_08_24_evolution_ga_Celecoxib_rediscovery/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	10	Osimertinib_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_10_Osimertinib_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_10/2026_08_24_evolution_ga_Osimertinib_MPO/generator_top_molecules.csv	generator-top	256	153	47	100	100
full-spectrum	0	11	Fexofenadine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_11_Fexofenadine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_10/2026_08_24_evolution_ga_Fexofenadine_MPO/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	12	Ranolazine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_12_Ranolazine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_11/2026_08_24_evolution_ga_Ranolazine_MPO/generator_top_molecules.csv	generator-top	256	186	14	100	100
full-spectrum	0	13	Perindopril_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_13_Perindopril_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150855/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_11/2026_08_24_evolution_ga_Perindopril_MPO/generator_top_molecules.csv	generator-top	256	29	171	29	29
full-spectrum	0	14	Amlodipine_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_14_Amlodipine_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Amlodipine_MPO/generator_top_molecules.csv	generator-top	256	49	151	49	49
full-spectrum	0	15	Sitagliptin_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_15_Sitagliptin_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Sitagliptin_MPO/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	16	Zaleplon_MPO	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_16_Zaleplon_MPO/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Zaleplon_MPO/generator_top_molecules.csv	generator-top	256	142	58	100	100
full-spectrum	0	17	Valsartan_smarts	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_17_Valsartan_smarts/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_15/2026_08_24_evolution_ga_Valsartan_smarts/generator_top_molecules.csv	generator-top	256	192	8	100	100
full-spectrum	0	18	Deco_hop	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_18_Deco_hop/compare_GuacaMol_20260824_150855/runs/spectralmol/seed_0/case_GuacaMol_20260824_150859/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_21/2026_08_24_evolution_ga_Deco_hop/generator_top_molecules.csv	generator-top	256	56	144	56	56
full-spectrum	0	19	Scaffold_hop	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_19_Scaffold_hop/compare_GuacaMol_20260824_150852/runs/spectralmol/seed_0/case_GuacaMol_20260824_150856/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_09_13/2026_08_24_evolution_ga_Scaffold_hop/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	1	Troglitazone_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260824_150845/runs/spectralmol/seed_0/case_GuacaMol_20260824_150846/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_50/2026_08_24_evolution_ga_Troglitazone_rediscovery/generator_top_molecules.csv	generator-top	256	199	1	100	100
full-spectrum	0	2	Thiothixene_rediscovery	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Thiothixene_rediscovery/generator_top_molecules.csv	generator-top	256	166	34	100	100
full-spectrum	0	3	Aripiprazole_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_3_Aripiprazole_similarity/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Aripiprazole_similarity/generator_top_molecules.csv	generator-top	256	200	0	100	100
full-spectrum	0	4	Albuterol_similarity	/ibex/scratch/colleoe/spectralMol/guacamol_frequency_ablation_merged_20260824_150715/full-spectrum/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260824_150846/runs/spectralmol/seed_0/case_GuacaMol_20260824_150847/benchmark_runs/2026_08_24_evolution_ga_benchmark_15_08_54/2026_08_24_evolution_ga_Albuterol_similarity/generator_top_molecules.csv	generator-top	256	197	3	100	100
