condition	task_index	task	n_molecules	mean_nearest_seed_tanimoto	scaffold_changed_fraction	same_scaffold_functional_group_changed_fraction	mean_abs_heavy_atom_delta	mean_abs_ring_delta
full-spectrum	0	Celecoxib_rediscovery	600	0.23030595501419338	1.0	0.0	5.065	0.56
high-only	0	Celecoxib_rediscovery	274	0.20568565130636784	1.0	0.0	8.605839416058394	1.145985401459854
low-only	0	Celecoxib_rediscovery	600	0.23217640327021036	1.0	0.0	4.925	0.6266666666666667
random-matrix	0	Celecoxib_rediscovery	600	0.2365233422998658	1.0	0.0	4.955	0.545
full-spectrum	1	Troglitazone_rediscovery	600	0.2529277902063098	1.0	0.0	4.945	0.8933333333333333
high-only	1	Troglitazone_rediscovery	511	0.17002619422701973	0.9765166340508806	0.023483365949119372	7.467710371819961	1.0450097847358122
low-only	1	Troglitazone_rediscovery	600	0.2555085107532694	1.0	0.0	5.256666666666667	0.9366666666666666
random-matrix	1	Troglitazone_rediscovery	600	0.2592196685814653	1.0	0.0	4.5216666666666665	0.8483333333333334
full-spectrum	2	Thiothixene_rediscovery	517	0.22886779077633265	1.0	0.0	5.644100580270793	0.9845261121856866
high-only	2	Thiothixene_rediscovery	355	0.21293069201644813	0.9915492957746479	0.008450704225352112	5.645070422535211	1.1014084507042254
low-only	2	Thiothixene_rediscovery	600	0.22441530464436832	1.0	0.0	5.471666666666667	0.8233333333333334
random-matrix	2	Thiothixene_rediscovery	600	0.2284115372151049	1.0	0.0	6.51	0.885
full-spectrum	3	Aripiprazole_similarity	600	0.25291382789810907	1.0	0.0	6.345	0.7016666666666667
high-only	3	Aripiprazole_similarity	552	0.22227974363951045	0.8514492753623188	0.14855072463768115	6.476449275362318	0.6068840579710145
low-only	3	Aripiprazole_similarity	600	0.26206606299553464	1.0	0.0	6.551666666666667	0.67
random-matrix	3	Aripiprazole_similarity	600	0.2659127160047611	1.0	0.0	6.346666666666667	0.83
full-spectrum	4	Albuterol_similarity	600	0.15050045063955805	0.8733333333333333	0.12666666666666668	7.693333333333333	1.295
high-only	4	Albuterol_similarity	600	0.1523423909697434	0.9816666666666667	0.018333333333333333	12.126666666666667	1.565
low-only	4	Albuterol_similarity	600	0.17225909406206458	0.81	0.19	6.321666666666666	1.4583333333333333
random-matrix	4	Albuterol_similarity	600	0.20231680218829926	0.9066666666666666	0.09333333333333334	8.735	1.4883333333333333
full-spectrum	5	Mestranol_similarity	600	0.2121096826602938	1.0	0.0	2.8516666666666666	0.7016666666666667
high-only	5	Mestranol_similarity	600	0.21201102800447075	0.935	0.065	4.203333333333333	0.8966666666666666
low-only	5	Mestranol_similarity	600	0.21120033942634617	1.0	0.0	3.1416666666666666	0.6633333333333333
random-matrix	5	Mestranol_similarity	600	0.2130433390618735	1.0	0.0	2.9966666666666666	0.6283333333333333
full-spectrum	6	C11H24	600	0.15521388553552226	1.0	0.0	11.218333333333334	1.6716666666666666
high-only	6	C11H24	600	0.14312902340586509	1.0	0.0	9.42	1.6066666666666667
low-only	6	C11H24	600	0.15519959625775334	1.0	0.0	13.086666666666666	1.6166666666666667
random-matrix	6	C11H24	600	0.16509939688432293	1.0	0.0	12.836666666666666	1.6033333333333333
full-spectrum	7	C9H10N2O2PF2Cl	600	0.10381946833151226	1.0	0.0	9.981666666666667	2.35
high-only	7	C9H10N2O2PF2Cl	600	0.08566959087777644	1.0	0.0	11.466666666666667	2.4716666666666667
low-only	7	C9H10N2O2PF2Cl	600	0.09800337982617616	1.0	0.0	10.456666666666667	2.4
random-matrix	7	C9H10N2O2PF2Cl	600	0.1280298357253925	0.9933333333333333	0.006666666666666667	8.586666666666666	1.8416666666666666
full-spectrum	8	Median_molecules_1	600	0.17534711724692975	0.9983333333333333	0.0016666666666666668	13.733333333333333	1.895
high-only	8	Median_molecules_1	600	0.16288661302316032	1.0	0.0	12.971666666666666	2.0516666666666667
low-only	8	Median_molecules_1	600	0.17981299472532392	1.0	0.0	13.418333333333333	1.9366666666666668
random-matrix	8	Median_molecules_1	600	0.17381351675354464	1.0	0.0	14.203333333333333	1.9833333333333334
full-spectrum	9	Median_molecules_2	243	0.2303729050021843	0.9382716049382716	0.06172839506172839	9.164609053497943	1.551440329218107
high-only	9	Median_molecules_2	159	0.24782239231632575	0.9182389937106918	0.08176100628930817	11.452830188679245	1.3836477987421383
low-only	9	Median_molecules_2	321	0.23893380946444542	0.9813084112149533	0.018691588785046728	13.582554517133957	1.928348909657321
random-matrix	9	Median_molecules_2	564	0.25480622845150686	0.9485815602836879	0.051418439716312055	9.161347517730496	1.2109929078014185
full-spectrum	10	Osimertinib_MPO	600	0.11482747255483362	1.0	0.0	7.136666666666667	1.73
high-only	10	Osimertinib_MPO	326	0.14662283439027157	0.9785276073619632	0.02147239263803681	11.947852760736197	1.7607361963190185
low-only	10	Osimertinib_MPO	600	0.12669308164152934	0.9983333333333333	0.0016666666666666668	9.343333333333334	1.9433333333333334
random-matrix	10	Osimertinib_MPO	581	0.1855605002642574	0.9982788296041308	0.0017211703958691911	11.61617900172117	1.0826161790017212
full-spectrum	11	Fexofenadine_MPO	600	0.22613292542845106	1.0	0.0	12.475	0.7733333333333333
high-only	11	Fexofenadine_MPO	318	0.11469553818021698	0.9905660377358491	0.009433962264150943	12.09433962264151	1.9591194968553458
low-only	11	Fexofenadine_MPO	600	0.23936952358004465	1.0	0.0	10.006666666666666	0.8133333333333334
random-matrix	11	Fexofenadine_MPO	600	0.24092709016437772	1.0	0.0	12.746666666666666	0.7933333333333333
full-spectrum	12	Ranolazine_MPO	600	0.10742042363327298	0.9983333333333333	0.0016666666666666668	10.303333333333333	1.975
high-only	12	Ranolazine_MPO	60	0.15603771541929146	0.9833333333333333	0.016666666666666666	9.2	1.4833333333333334
low-only	12	Ranolazine_MPO	600	0.12433610755747997	1.0	0.0	13.368333333333334	1.8183333333333334
random-matrix	12	Ranolazine_MPO	363	0.21184431305813806	0.9862258953168044	0.013774104683195593	10.234159779614325	1.2258953168044078
full-spectrum	13	Perindopril_MPO	196	0.15775953996057318	0.9387755102040817	0.061224489795918366	6.005102040816326	1.3673469387755102
high-only	13	Perindopril_MPO	118	0.24285309927469562	0.9322033898305084	0.06779661016949153	9.313559322033898	1.228813559322034
low-only	13	Perindopril_MPO	255	0.224048741620066	0.8901960784313725	0.10980392156862745	5.827450980392157	1.3176470588235294
random-matrix	13	Perindopril_MPO	388	0.25706197494164934	0.8891752577319587	0.11082474226804123	7.623711340206185	1.1108247422680413
full-spectrum	14	Amlodipine_MPO	451	0.16847679599452914	1.0	0.0	7.909090909090909	1.0731707317073171
high-only	14	Amlodipine_MPO	106	0.20116848507374382	1.0	0.0	9.622641509433961	1.0188679245283019
low-only	14	Amlodipine_MPO	600	0.218475408018668	1.0	0.0	8.391666666666667	0.95
random-matrix	14	Amlodipine_MPO	600	0.21588451729886884	1.0	0.0	6.076666666666667	0.9883333333333333
full-spectrum	15	Sitagliptin_MPO	600	0.11695939537555247	1.0	0.0	5.895	2.05
high-only	15	Sitagliptin_MPO	600	0.08882823186878017	0.995	0.0	13.536666666666667	2.381666666666667
low-only	15	Sitagliptin_MPO	600	0.11143840090695278	1.0	0.0	5.261666666666667	2.131666666666667
random-matrix	15	Sitagliptin_MPO	600	0.14391574823546247	1.0	0.0	5.656666666666666	1.8233333333333333
full-spectrum	16	Zaleplon_MPO	600	0.21639518601650654	0.9983333333333333	0.0016666666666666668	4.128333333333333	1.0583333333333333
high-only	16	Zaleplon_MPO	459	0.1761960154708749	1.0	0.0	5.790849673202614	1.0501089324618735
low-only	16	Zaleplon_MPO	600	0.2190680055253747	1.0	0.0	4.226666666666667	0.8366666666666667
random-matrix	16	Zaleplon_MPO	600	0.23454335837639473	1.0	0.0	4.166666666666667	0.87
full-spectrum	17	Valsartan_smarts	600	0.12127882937452568	0.99	0.01	6.081666666666667	1.6233333333333333
high-only	17	Valsartan_smarts	600	0.10021219980069998	0.995	0.005	13.266666666666667	2.216666666666667
low-only	17	Valsartan_smarts	600	0.12356874195809837	0.995	0.005	7.898333333333333	2.0533333333333332
random-matrix	17	Valsartan_smarts	600	0.17114151553272164	0.9833333333333333	0.016666666666666666	7.701666666666667	1.57
full-spectrum	18	Deco_hop	323	0.1089780541864363	1.0	0.0	5.860681114551084	1.8204334365325077
high-only	18	Deco_hop	182	0.09542096262912485	1.0	0.0	9.56043956043956	2.2472527472527473
low-only	18	Deco_hop	400	0.12499092228162151	0.9975	0.0025	6.41	1.33
random-matrix	18	Deco_hop	474	0.1168906716385579	0.9936708860759493	0.006329113924050633	5.746835443037975	1.7172995780590716
full-spectrum	19	Scaffold_hop	600	0.17213210075890628	1.0	0.0	8.915	0.9733333333333334
high-only	19	Scaffold_hop	311	0.14673267695605785	1.0	0.0	7.434083601286174	1.4469453376205788
low-only	19	Scaffold_hop	600	0.17954690317333638	1.0	0.0	7.921666666666667	0.91
random-matrix	19	Scaffold_hop	600	0.17525647044774864	1.0	0.0	8.488333333333333	1.05
