condition	seed	task_index	task	export_path	source	generated_with_parent	missing_parent_rows	selected_top_n	valid_selected
full-spectrum	0	0	Celecoxib_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260825_094403/runs/spectralmol/seed_0/case_GuacaMol_20260825_094404/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_08/2026_08_25_evolution_ga_Celecoxib_rediscovery/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	10	Osimertinib_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_10_Osimertinib_MPO/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Osimertinib_MPO/generator_top_molecules_lineage.csv	top-lineage	152	0	100	100
full-spectrum	0	11	Fexofenadine_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_11_Fexofenadine_MPO/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094405/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_11/2026_08_25_evolution_ga_Fexofenadine_MPO/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	12	Ranolazine_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_12_Ranolazine_MPO/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094405/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_11/2026_08_25_evolution_ga_Ranolazine_MPO/generator_top_molecules_lineage.csv	top-lineage	198	0	100	100
full-spectrum	0	13	Perindopril_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_13_Perindopril_MPO/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094405/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_11/2026_08_25_evolution_ga_Perindopril_MPO/generator_top_molecules_lineage.csv	top-lineage	32	0	32	32
full-spectrum	0	14	Amlodipine_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_14_Amlodipine_MPO/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_13/2026_08_25_evolution_ga_Amlodipine_MPO/generator_top_molecules_lineage.csv	top-lineage	51	9	51	51
full-spectrum	0	15	Sitagliptin_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_15_Sitagliptin_MPO/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_13/2026_08_25_evolution_ga_Sitagliptin_MPO/generator_top_molecules_lineage.csv	top-lineage	199	1	100	100
full-spectrum	0	16	Zaleplon_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_16_Zaleplon_MPO/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_13/2026_08_25_evolution_ga_Zaleplon_MPO/generator_top_molecules_lineage.csv	top-lineage	141	0	100	100
full-spectrum	0	17	Valsartan_smarts	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_17_Valsartan_smarts/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Valsartan_smarts/generator_top_molecules_lineage.csv	top-lineage	196	0	100	100
full-spectrum	0	18	Deco_hop	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_18_Deco_hop/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Deco_hop/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	19	Scaffold_hop	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_19_Scaffold_hop/compare_GuacaMol_20260825_094411/runs/spectralmol/seed_0/case_GuacaMol_20260825_094413/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_23/2026_08_25_evolution_ga_Scaffold_hop/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	1	Troglitazone_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_1_Troglitazone_rediscovery/compare_GuacaMol_20260825_094403/runs/spectralmol/seed_0/case_GuacaMol_20260825_094404/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_07/2026_08_25_evolution_ga_Troglitazone_rediscovery/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	2	Thiothixene_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_2_Thiothixene_rediscovery/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Thiothixene_rediscovery/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	3	Aripiprazole_similarity	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_3_Aripiprazole_similarity/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Aripiprazole_similarity/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	4	Albuterol_similarity	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_4_Albuterol_similarity/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Albuterol_similarity/generator_top_molecules_lineage.csv	top-lineage	199	0	100	100
full-spectrum	0	5	Mestranol_similarity	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_5_Mestranol_similarity/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Mestranol_similarity/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	6	C11H24	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_6_C11H24/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094405/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_11/2026_08_25_evolution_ga_C11H24/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	7	C9H10N2O2PF2Cl	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_7_C9H10N2O2PF2Cl/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_0/case_GuacaMol_20260825_094405/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_11/2026_08_25_evolution_ga_C9H10N2O2PF2Cl/generator_top_molecules_lineage.csv	top-lineage	199	0	100	100
full-spectrum	0	8	Median_molecules_1	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_8_Median_molecules_1/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Median_molecules_1/generator_top_molecules_lineage.csv	top-lineage	200	0	100	100
full-spectrum	0	9	Median_molecules_2	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_0/task_9_Median_molecules_2/compare_GuacaMol_20260825_094405/runs/spectralmol/seed_0/case_GuacaMol_20260825_094406/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Median_molecules_2/generator_top_molecules_lineage.csv	top-lineage	20	0	20	20
full-spectrum	1	0	Celecoxib_rediscovery	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_1/task_0_Celecoxib_rediscovery/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_1/case_GuacaMol_20260825_094405/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Celecoxib_rediscovery/generator_top_molecules_lineage.csv	top-lineage	110	0	100	100
full-spectrum	1	10	Osimertinib_MPO	PORTABLE_OUTPUT_ROOT/guacamol_frequency_ablation_lineage_20260825_094359/full-spectrum/seed_1/task_10_Osimertinib_MPO/compare_GuacaMol_20260825_094404/runs/spectralmol/seed_1/case_GuacaMol_20260825_094405/benchmark_runs/2026_08_25_evolution_ga_benchmark_09_44_12/2026_08_25_evolution_ga_Osimertinib_MPO/generator_top_molecules_lineage.csv	top-lineage	163	0	100	100
