condition	task_index	task	n_molecules	mean_best_parent_tanimoto	scaffold_changed_fraction	same_scaffold_functional_group_changed_fraction	mean_abs_heavy_atom_delta	mean_abs_ring_delta
full-spectrum	0	Celecoxib_rediscovery	600	0.7114267793248796	0.045	0.7533333333333333	1.7133333333333334	0.051666666666666666
high-only	0	Celecoxib_rediscovery	600	0.29418901561710215	0.7316666666666667	0.20833333333333334	11.543333333333333	1.3716666666666666
low-only	0	Celecoxib_rediscovery	600	0.6485527081185516	0.11	0.8283333333333334	1.635	0.1
random-matrix	0	Celecoxib_rediscovery	600	0.7003882511719812	0.03666666666666667	0.8266666666666667	1.0	0.02666666666666667
full-spectrum	1	Troglitazone_rediscovery	600	0.781684464821245	0.05	0.705	1.695	0.06
high-only	1	Troglitazone_rediscovery	600	0.31417696484839336	0.8883333333333333	0.095	9.808333333333334	1.5683333333333334
low-only	1	Troglitazone_rediscovery	600	0.7365278777808167	0.12	0.7483333333333333	2.055	0.13833333333333334
random-matrix	1	Troglitazone_rediscovery	600	0.7617911684403983	0.10333333333333333	0.74	1.62	0.08
full-spectrum	2	Thiothixene_rediscovery	600	0.7418904264454163	0.17166666666666666	0.6533333333333333	1.6783333333333332	0.07666666666666666
high-only	2	Thiothixene_rediscovery	600	0.4120507027219826	0.8816666666666667	0.10166666666666667	9.475	1.3533333333333333
low-only	2	Thiothixene_rediscovery	600	0.6344066357743937	0.3383333333333333	0.5816666666666667	4.035	0.495
random-matrix	2	Thiothixene_rediscovery	600	0.694780461923387	0.25166666666666665	0.575	2.578333333333333	0.29333333333333333
full-spectrum	3	Aripiprazole_similarity	600	0.7519936175175062	0.15166666666666667	0.5483333333333333	0.5766666666666667	0.006666666666666667
high-only	3	Aripiprazole_similarity	600	0.40909085368621734	0.565	0.38	10.896666666666667	1.5266666666666666
low-only	3	Aripiprazole_similarity	600	0.7155633520218599	0.17166666666666666	0.7533333333333333	1.2733333333333334	0.06833333333333333
random-matrix	3	Aripiprazole_similarity	600	0.7184038416286477	0.23333333333333334	0.5466666666666666	1.405	0.165
full-spectrum	4	Albuterol_similarity	600	0.220733642263546	0.565	0.31833333333333336	2.4233333333333333	0.235
high-only	4	Albuterol_similarity	600	0.17177748016601002	0.91	0.08666666666666667	9.076666666666666	1.37
