seed	spectralmol_n_tasks	spectralmol_aggregate	graphga_n_tasks	graphga_aggregate	delta_spectralmol_minus_graphga	spectralmol_win	complete
7	20	15.212458	20	14.859029	0.353429	1	1
8	20	15.273676	20	14.374875	0.898801	1	1
9	20	15.247267	20	14.338723	0.908544	1	1
10	20	15.484430	20	14.704119	0.780311	1	1
11	20	15.485570	20	14.367628	1.117942	1	1
12	20	15.128876	20	14.489906	0.638970	1	1
13	20	14.884556	20	14.421754	0.462802	1	1
14	20	15.103297	20	14.641586	0.461711	1	1
15	20	15.272948	20	15.119834	0.153114	1	1
16	20	15.211782	20	14.424963	0.786819	1	1
