task_index	task	task_family	spectralmol_mean	spectralmol_std	spectralmol_n	graphga_mean	graphga_std	graphga_n	delta_spectralmol_minus_graphga_mean
0	Celecoxib_rediscovery	rediscovery	1.000000	0.000000	10	0.875456	0.141769	10	0.124544
1	Troglitazone_rediscovery	rediscovery	1.000000	0.000000	10	0.520280	0.027058	10	0.479720
2	Thiothixene_rediscovery	rediscovery	1.000000	0.000000	10	0.712943	0.101704	10	0.287057
3	Aripiprazole_similarity	similarity	1.000000	0.000000	10	0.952577	0.040815	10	0.047423
4	Albuterol_similarity	similarity	0.657649	0.132837	10	1.000000	0.000000	10	-0.342351
5	Mestranol_similarity	similarity	1.000000	0.000000	10	0.849298	0.103324	10	0.150702
6	C11H24	isomer	1.000000	0.000000	10	1.000000	0.000000	10	0.000000
7	C9H10N2O2PF2Cl	isomer	0.959423	0.043697	10	0.930875	0.045995	10	0.028549
8	Median_molecules_1	median	0.406102	0.002144	10	0.344305	0.034970	10	0.061797
9	Median_molecules_2	median	0.384119	0.020153	10	0.334873	0.021046	10	0.049245
10	Osimertinib_MPO	mpo	0.868793	0.104376	10	0.927239	0.021657	10	-0.058447
11	Fexofenadine_MPO	mpo	1.000000	0.000000	10	0.896921	0.019917	10	0.103079
12	Ranolazine_MPO	mpo	0.860102	0.082360	10	0.893067	0.007649	10	-0.032965
13	Perindopril_MPO	mpo	0.420084	0.000000	10	0.698462	0.024972	10	-0.278378
14	Amlodipine_MPO	mpo	0.901154	0.009801	10	0.843978	0.018935	10	0.057176
15	Sitagliptin_MPO	mpo	0.767381	0.047226	10	0.775549	0.043573	10	-0.008168
16	Zaleplon_MPO	mpo	0.689427	0.021645	10	0.576414	0.019534	10	0.113012
17	Valsartan_smarts	smarts	0.031186	0.000227	10	0.031504	0.000150	10	-0.000318
18	Deco_hop	hopping	0.618398	0.001402	10	0.748014	0.002793	10	-0.129616
19	Scaffold_hop	hopping	0.666667	0.000000	10	0.662485	0.007778	10	0.004182
