budget	docking_component	elapsed_seconds	evaluated	generations	modes_lt_minus10	modes_lt_minus9	n_unique	objective_max	objective_mean	pct_lt_minus10	pct_lt_minus9	seed	source_file	strategy
1000	quickvina2_gpu	3514.9667563438416	1000	47	1.0	12.0	1000	0.7443340420722961	0.712779855132103	1.0	22.0	0	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed0/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	3046.808267354965	1000	47	0.0	17.0	1000	0.7443340420722961	0.7080533468723297	0.0	21.0	1	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed1/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	2979.365915775299	1000	47	3.0	24.0	1000	0.7474046945571899	0.7166815376281739	4.0	49.0	2	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed2/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	3170.6926095485687	1000	47	1.0	20.0	1000	0.7312949895858765	0.7037962228059769	1.0	33.0	3	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed3/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	2971.9988503456116	1000	47	2.0	20.0	1000	0.7547330856323242	0.7052148222923279	2.0	27.0	4	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed4/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	3001.5970566272736	1000	47	3.0	19.0	1000	0.7443340420722961	0.7034048008918762	3.0	26.0	5	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed5/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	2919.624410390854	1000	47	1.0	18.0	1000	0.7408339381217957	0.7107369089126587	2.0	63.0	6	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed6/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	3127.7728192806244	1000	47	4.0	20.0	1000	0.7443340420722961	0.701191321015358	4.0	34.0	7	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed7/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	2946.0073873996735	1000	47	7.0	22.0	1000	0.7479971051216125	0.7169612032175064	14.0	86.0	8	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed8/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
1000	quickvina2_gpu	3348.431726694107	1000	47	3.0	25.0	1000	0.7317080497741699	0.6998925840854645	6.0	44.0	9	PORTABLE_USER_ROOT/spectralMol/merged_fresh_repro_20260818_083101/saturn_table8_v119/20260819_104640/table8_v118_strict_mode_cap_v119/saturn_theta_nsga2_budget1000_seed9/scalar_vs_nsga2_summary.csv	theta_nsga2_multiobjective
