threshold	seed	hit_yield	modes	qed_mean_hits	sa_mean_hits	molwt_mean_hits
-9.0	0	360	72	0.8491805430942653	2.6756177820742324	309.73260277777774
-9.0	1	355	108	0.8598529035674854	2.6782444318647305	303.75832676056336
-9.0	2	350	114	0.870920356107709	2.5882784830634207	311.14256
-9.0	3	323	97	0.8433086148081573	2.705100628110042	317.1374210526316
-9.0	4	287	96	0.8494052302418299	2.684574363605797	317.28120209059233
-9.0	5	320	137	0.8691557821852215	2.625209457503694	319.782725
-9.0	6	304	101	0.8503872831747853	2.660808747991436	314.0104572368421
-9.0	7	363	94	0.8491975673491781	2.6945172836240103	310.5877079889807
-9.0	8	313	96	0.8460126843429158	2.720250387638618	318.0110383386582
-9.0	9	274	122	0.8555438584740511	2.711087688713528	326.92323357664236
-10.0	0	16	5	0.8395910952249795	2.6651122428818304	309.26512499999995
-10.0	1	10	7	0.8485886252932016	2.772921983196328	312.0319
-10.0	2	23	11	0.8718286729621464	2.5493596828977942	309.47034782608694
-10.0	3	14	9	0.8235651716467236	2.703277897351905	308.33057142857143
-10.0	4	16	11	0.8387871939585514	2.6294074655041384	317.633625
-10.0	5	14	9	0.9029065859655139	2.529363334685611	302.04335714285713
-10.0	6	8	6	0.8435723819804418	2.6105812402133983	304.59849999999994
-10.0	7	11	8	0.8437396106441574	2.7900016181300096	316.03618181818183
-10.0	8	7	7	0.8511577979536074	2.8029276623557453	319.6781428571429
-10.0	9	11	6	0.8412956491633882	2.773694538378272	313.7597272727273
